nombre,categoria,sku,marca,modelo,condicion,estado,stock,stock_transito,stock_reservado,costo_prom,precio,garantia_meses,ubicacion,notas
iPhone 14 Pro,CELULARES,IPHONE14P128GB,APPLE,iPhone 14 Pro,NUEVO,ACTIVO,5,2,1,800.00,1200.00,12,ESTANTE A1,Sin accesorios
iPhone 14,CELULARES,IPHONE14128GB,APPLE,iPhone 14,NUEVO,ACTIVO,3,1,0,650.00,999.00,12,ESTANTE A2,
iPhone 13 Pro,CELULARES,IPHONE13P128GB,APPLE,iPhone 13 Pro,CAJA_ABIERTA,ACTIVO,2,0,0,600.00,899.00,12,ESTANTE A3,Incluye cargador
iPhone 13,CELULARES,IPHONE13128GB,APPLE,iPhone 13,USADO,ACTIVO,1,0,1,450.00,699.00,6,ESTANTE A4,Rayones menores
Samsung Galaxy S23,CELULARES,GAL-S23-256GB,SAMSUNG,Galaxy S23,NUEVO,ACTIVO,4,1,0,700.00,1100.00,12,ESTANTE B1,
Samsung Galaxy A53,CELULARES,GAL-A53-128GB,SAMSUNG,Galaxy A53,NUEVO,ACTIVO,6,2,1,300.00,599.00,12,ESTANTE B2,
MacBook Air M2,LAPTOPS,MBA-M2-256,APPLE,MacBook Air M2,NUEVO,ACTIVO,3,1,0,1200.00,1800.00,12,ESTANTE C1,Incluye cargador
MacBook Air M1,LAPTOPS,MBA-M1-256,APPLE,MacBook Air M1,CAJA_ABIERTA,ACTIVO,2,0,0,900.00,1400.00,12,ESTANTE C2,
Dell XPS 13,LAPTOPS,DELLXPS13,DELL,XPS 13,NUEVO,ACTIVO,2,1,0,800.00,1300.00,12,ESTANTE C3,
Lenovo ThinkPad,LAPTOPS,TPAD-T14,LENOVO,ThinkPad T14,NUEVO,ACTIVO,5,1,1,700.00,1200.00,12,ESTANTE C4,
AirPods Pro,ACCESORIOS,AIRPODS-PRO,APPLE,AirPods Pro,NUEVO,ACTIVO,10,2,2,200.00,350.00,12,ESTANTE D1,
AirPods Max,ACCESORIOS,AIRPODS-MAX,APPLE,AirPods Max,NUEVO,ACTIVO,3,0,0,350.00,599.00,12,ESTANTE D2,
iPad Pro 11,TABLETS,IPAD-PRO-11,APPLE,iPad Pro 11,NUEVO,ACTIVO,4,1,0,800.00,1200.00,12,ESTANTE E1,
Samsung Galaxy Tab S9,TABLETS,TAB-S9-128GB,SAMSUNG,Galaxy Tab S9,NUEVO,ACTIVO,2,0,0,400.00,749.00,12,ESTANTE E2,
Apple Watch Ultra,WEARABLES,WATCH-ULTRA,APPLE,Watch Ultra,NUEVO,ACTIVO,5,1,1,350.00,549.00,12,ESTANTE F1,
Apple Watch Series 9,WEARABLES,WATCH-S9,APPLE,Watch Series 9,NUEVO,ACTIVO,8,2,2,250.00,399.00,12,ESTANTE F2,
Sony WH-1000XM5,AUDIO,SONY-XM5,SONY,WH-1000XM5,NUEVO,ACTIVO,6,1,1,250.00,399.00,12,ESTANTE G1,Cancelación de ruido
Bose QuietComfort,AUDIO,BOSE-QC,BOSE,QuietComfort,NUEVO,ACTIVO,3,0,0,280.00,429.00,12,ESTANTE G2,
JBL Flip 6,AUDIO,JBL-FLIP6,JBL,Flip 6,NUEVO,ACTIVO,10,2,2,100.00,199.00,12,ESTANTE G3,Portátil
GoPro Hero 12,CAMARAS,GOPRO-H12,GOPRO,Hero 12,NUEVO,ACTIVO,4,1,0,300.00,499.00,12,ESTANTE H1,
Sony Alpha 6700,CAMARAS,SONY-A6700,SONY,Alpha 6700,NUEVO,ACTIVO,2,0,0,1200.00,1899.00,12,ESTANTE H2,Con lente
Canon EOS R6,CAMARAS,CANON-R6,CANON,EOS R6,NUEVO,ACTIVO,1,0,0,1500.00,2299.00,12,ESTANTE H3,Profesional
Samsung 65 QLED,TELEVISORES,SAMSUNG-65QLED,SAMSUNG,65 QLED,NUEVO,ACTIVO,2,0,0,800.00,1299.00,12,BODEGA A,Gran pantalla
LG 55 OLED,TELEVISORES,LG-55OLED,LG,55 OLED,NUEVO,ACTIVO,3,1,0,700.00,1199.00,12,BODEGA B,Pantalla OLED
